# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	31513
#@/user_id	53f8df16-24bd-4171-bf21-ee7068d0bb6a
a 	啊	c=62 d=1.01193 t=30983
jian rong ba 	兼容把	c=1 d=1 t=8283
jian rong le 	兼容了	c=1 d=1 t=28400
jian shao 	減少	c=8 d=1 t=27824
jian shao le 	減少了	c=1 d=1 t=4465
jian she 	建設	c=10 d=1 t=21458
jian tie ban 	剪貼板	c=2 d=1 t=18049
jian ting 	監聽	c=2 d=1.26054 t=5066
jian tou 	箭頭	c=1 d=1 t=31159
jian tou han shu 	箭頭函數	c=4 d=1 t=24808
jian yi 	建議	c=4 d=1 t=30424
jian yi 	檢疫	c=3 d=2.86667 t=12112
jiang 	將	c=4 d=1 t=19658
jiang 	江	c=1 d=1 t=27449
jiang 	獎	c=1 d=0.969358 t=27745
jiang 	薑	c=1 d=1 t=27631
jiang 	講	c=11 d=2.12627 t=28380
jiang 	醬	c=5 d=1 t=24912
jiang chu lai 	講出來	c=1 d=1 t=26879
jiang cun 	蔣村	c=1 d=1 t=25497
jiang de shi 	講的是	c=1 d=1 t=8439
jiang di 	降低	c=3 d=1.86071 t=18281
jiang hua 	講話	c=1 d=1 t=2930
jiang jiang 	講講	c=1 d=1 t=20442
jiang lai 	將來	c=6 d=1 t=31349
jiang ne 	講呢	c=1 d=1 t=9834
jiang wan 	講完	c=1 d=1 t=2982
jiang yi bian 	講一遍	c=2 d=1.9802 t=28367
jiang yi xia 	講一下	c=1 d=1 t=11596
jiao 	交	c=2 d=1 t=20291
jiao 	叫	c=6 d=1 t=23829
jiao ben 	腳本	c=12 d=1 t=21343
jiao che 	叫車	c=1 d=1 t=6901
jiao chou 	腳臭	c=1 d=0.691555 t=28640
jiao chou wei 	腳臭味	c=1 d=1 t=28641
jiao chu qu 	叫出去	c=1 d=1 t=2441
jiao da 	較大	c=1 d=1 t=247
jiao du 	角度	c=3 d=1.97531 t=18948
jiao fu 	交付	c=9 d=6.49464 t=29792
jiao hu 	交互	c=1 d=1 t=20855
jiao jie 	交接	c=1 d=1 t=30631
jiao sha 	叫啥	c=1 d=1 t=24746
jiao shang 	叫上	c=0 d=0.1 t=22922
jiao shang le 	叫上了	c=1 d=1 t=22923
jiao shen me 	叫什麼	c=1 d=1 t=18079
jiao shi 	教師	c=1 d=1 t=8750
jiao shou jia 	腳手架	c=2 d=1.57121 t=25100
jiao ta 	叫他	c=1 d=1 t=28222
jiao xue 	教學	c=1 d=1 t=8749
jiao yan 	校驗	c=11 d=1.00327 t=25445
jiao yi 	交易	c=2 d=1.0724 t=10291
jiao yi ti xi 	交易體系	c=1 d=1 t=9746
jiao yu 	教育	c=1 d=1 t=2539
jiao zou 	叫走	c=1 d=1 t=7688
jie 	傑	c=1 d=1 t=19037
jie 	截	c=3 d=2.94092 t=7621
jie 	接	c=3 d=1 t=24901
jie dan 	接單	c=8 d=1.06492 t=30594
jie dao 	街道	c=1 d=1 t=25948
jie dian 	節點	c=2 d=1.00004 t=27570
jie dian hua 	接電話	c=1 d=1 t=23844
jie dong 	解凍	c=1 d=1 t=13844
jie duan 	階段	c=1 d=1 t=1909
jie dui 	結對	c=1 d=1 t=8437
jie gou 	結構	c=11 d=1 t=27381
jie guo 	結果	c=24 d=1 t=31414
jie guo lai 	接過來	c=1 d=1 t=1885
jie he 	結合	c=5 d=1.00006 t=27084
jie hou 	節後	c=1 d=1 t=18011
jie jie 	姐姐	c=2 d=1 t=29056
jie jue 	解決	c=51 d=1.11591 t=31209
jie jue diao 	解決掉	c=2 d=1.71892 t=1868
jie kou 	接口	c=95 d=2.80821 t=29138
jie le 	接了	c=1 d=1 t=24848
jie liu 	節流	c=1 d=1 t=2482
jie ma 	解碼	c=2 d=1 t=28485
jie mian 	界面	c=1 d=1 t=26279
jie ru 	接入	c=5 d=1.49411 t=30657
jie shang 	接上	c=1 d=1 t=22734
jie shao 	介紹	c=2 d=1 t=30712
jie shi 	解釋	c=3 d=1.02573 t=25943
jie shou 	接受	c=3 d=1.00126 t=27501
jie shu 	借書	c=1 d=1 t=1490
jie shu 	結束	c=6 d=1.00381 t=30973
jie shu le 	結束了	c=2 d=1.00001 t=26634
jie suan 	結算	c=1 d=1 t=398
jie tu 	截圖	c=4 d=1 t=30870
jie wan 	接完	c=1 d=1 t=1678
jie xi 	解析	c=4 d=1.00497 t=11296
jie xi dao 	解析到	c=1 d=1 t=11297
jie xia lai 	接下來	c=1 d=1 t=27693
jie ya 	解壓	c=3 d=1.9802 t=31129
jie yue 	節約	c=1 d=1 t=27087
jie zou 	節奏	c=3 d=1 t=22913
jin 	斤	c=4 d=3.9407 t=12661
jin 	近	c=2 d=1 t=25025
jin 	進	c=8 d=1.00007 t=30500
jin 	金	c=1 d=1 t=19036
jin bu lai 	進不來	c=1 d=1 t=5108
jin du 	進度	c=4 d=1 t=29662
jin e 	金額	c=2 d=1.97531 t=24635
jin ji 	緊急	c=2 d=1 t=11022
jin lai 	進來	c=1 d=1 t=7355
jin lai de 	進來的	c=1 d=1 t=4566
jin lai le 	進來了	c=1 d=1 t=6439
jin liang 	儘量	c=3 d=1 t=27108
jin nian 	今年	c=3 d=1.00002 t=30620
jin ping guo 	金蘋果	c=1 d=0.1 t=27745
jin ping guo jiang 	金蘋果獎	c=1 d=1 t=27746
jin qu 	進去	c=7 d=1.28938 t=29509
jin ri 	今日	c=1 d=1 t=26717
jin ru 	進入	c=1 d=1 t=15561
jin tian 	今天	c=70 d=1.00027 t=29609
jin wan 	今晚	c=8 d=1 t=31157
jin xing zhong 	進行中	c=1 d=1 t=2063
jin zhan 	進展	c=2 d=1 t=30676
jin zhang 	緊張	c=1 d=1 t=12780
jing 	靜	c=0 d=0.1 t=2108
jing chang 	經常	c=1 d=1 t=1019
jing dong 	京東	c=1 d=1 t=29533
jing guo 	經過	c=1 d=1 t=4302
jing ji cang 	經濟艙	c=1 d=1 t=18777
jing li 	經歷	c=1 d=1 t=18812
jing li 	經理	c=4 d=3.62987 t=18851
jing mo 	靜默	c=1 d=1 t=13051
jing qing 	敬請	c=0 d=0.1 t=16472
jing qing qi dai 	敬請期待	c=2 d=1 t=27743
jing shen 	精神	c=3 d=1.9802 t=30307
jing shen dou sou 	精神抖擻	c=1 d=1 t=20239
jing tai 	靜態	c=1 d=1 t=11470
jing xiang 	鏡像	c=6 d=1.2523 t=11486
jing xiang ming 	鏡像名	c=1 d=1 t=11443
jing yan 	經驗	c=3 d=1 t=26842
jiu 	久	c=1 d=0.10001 t=3054
jiu 	就	c=165 d=1.08742 t=31501
jiu 	舊	c=4 d=1.05152 t=24687
jiu ba 	就把	c=2 d=1 t=22020
jiu bu neng 	就不能	c=1 d=1 t=25784
jiu de 	就得	c=2 d=1.30728 t=15021
jiu dian 	九點	c=1 d=1 t=18108
jiu gai 	就改	c=1 d=1 t=2381
jiu hao 	就好	c=1 d=1 t=17719
jiu hao le 	就好了	c=5 d=1 t=30993
jiu hui 	就會	c=1 d=1 t=31041
jiu jie 	糾結	c=1 d=1 t=23163
jiu ke yi 	就可以	c=2 d=1 t=26657
jiu lai 	就來	c=1 d=1 t=3817
jiu mei le 	就沒了	c=1 d=1 t=23778
jiu meng 	舊夢	c=1 d=1.099 t=28225
jiu meng chong yuan 	舊夢重圓	c=1 d=1 t=28224
jiu na dian 	就那點	c=1 d=1 t=4862
jiu neng 	就能	c=1 d=1 t=25942
jiu qi huo 	就齊活	c=1 d=1 t=15624
jiu qu 	就去	c=1 d=1 t=6978
jiu shi 	就是	c=65 d=1.92715 t=31088
jiu suan 	就算	c=2 d=1.37531 t=23363
jiu suan shi 	就算是	c=1 d=1 t=2601
jiu wan le 	就完了	c=2 d=1.00289 t=29557
jiu wan le 	就晚了	c=1 d=1 t=4603
jiu wan shi 	就完事	c=1 d=1 t=23900
jiu xing 	就行	c=9 d=1.69768 t=29582
jiu xing le 	就行了	c=9 d=1.00919 t=27623
jiu xing ma 	就行嗎	c=1 d=1 t=24637
jiu yao 	就要	c=2 d=1 t=26315
jiu yong 	就用	c=1 d=1 t=29412
jiu you 	就有	c=3 d=1 t=18721
jiu zhe 	就這	c=2 d=1 t=29907
jiu zhe ge 	就這個	c=1 d=1 t=20712
jiu zhe yi dan 	就這一單	c=1 d=1 t=29904
ju 	據	c=1 d=1 t=1409
ju bao 	舉報	c=1 d=1 t=24082
ju e 	鉅額	c=1 d=1 t=24792
ju ge 	舉個	c=2 d=1.93707 t=5063
ju ge li zi 	舉個例子	c=1 d=1 t=5049
ju guo 	舉國	c=1 d=1 t=5062
ju jue 	拒絕	c=1 d=1 t=27497
ju liang 	巨量	c=1 d=1 t=30016
ju ran 	居然	c=1 d=1 t=30593
ju shou 	舉手	c=1 d=1 t=3964
ju shuo 	據說	c=1 d=1 t=24503
ju ti 	具體	c=22 d=1.20615 t=31202
ju ti de 	具體的	c=1 d=1 t=2215
ju ti dian 	具體點	c=1 d=1 t=8196
ju zhong 	居中	c=1 d=1 t=15342
juan 	卷	c=1 d=1 t=14098
jue ce 	決策	c=1 d=1 t=11979
jue de 	覺得	c=10 d=1 t=29958
jue ding 	決定	c=5 d=1 t=30490
jue dui 	絕對	c=3 d=0.1 t=21913
jue dui zou 	絕對走	c=1 d=1 t=21914
jue wu 	絕無	c=1 d=1 t=9164
jue wu ci shi 	絕無此事	c=1 d=1 t=22956
jun cheng 	均誠	c=1 d=1 t=18711
jun heng 	均衡	c=3 d=1.89583 t=9542
ka 	卡	c=0 d=0.1 t=11411
ka dian 	卡點	c=2 d=1 t=17493
ka zhi 	卡紙	c=1 d=1 t=17773
kai 	開	c=17 d=1.00027 t=31097
kai chuang 	開窗	c=1 d=1 t=28691
kai dao 	開到	c=1 d=1 t=25525
kai deng 	開燈	c=0 d=0.1 t=24538
kai deng guan deng 	開燈關燈	c=1 d=1 t=24539
kai fa 	開發	c=49 d=1.64419 t=30823
kai fa he 	開發和	c=1 d=1 t=8180
kai fa wan le 	開發完了	c=1 d=1 t=24152
kai fa zhe 	開發者	c=2 d=1.9802 t=5897
kai fan 	開飯	c=3 d=1.03114 t=7244
kai fang 	開放	c=1 d=1 t=9351
kai gao 	開搞	c=1 d=1 t=31158
kai ge 	開個	c=3 d=1 t=24071
kai gei 	開給	c=2 d=1 t=26556
kai guan 	開關	c=5 d=1.96562 t=30906
kai hui 	開會	c=21 d=1.42966 t=30981
kai ji 	開機	c=0 d=0.1 t=21275
kai juan 	開卷	c=1 d=1 t=6669
kai kai 	開開	c=1 d=1 t=13236
kai le 	開了	c=3 d=1.05234 t=28545
kai le ge 	開了個	c=1 d=1 t=30995
kai ma 	開嗎	c=1 d=1 t=27770
kai qi 	開啓	c=1 d=1 t=15160
kai shi 	開始	c=17 d=1.12311 t=31077
kai shi de 	開始的	c=1 d=1 t=13997
kai shi le ma 	開始了嗎	c=1 d=1 t=17999
kai shi ma 	開始嗎	c=2 d=1 t=11161
kai tong 	開通	c=1 d=1 t=2015
kai wan 	開完	c=6 d=1 t=25259
kai wan hui 	開完會	c=2 d=1 t=20502
kai wan le 	開完了	c=2 d=1 t=25203
kai yi ci 	開一次	c=1 d=1 t=19259
kai yi ge 	開一個	c=3 d=1 t=4561
kai yi xia 	開一下	c=1 d=1 t=17561
kai yuan 	開源	c=2 d=1 t=30426
kai zhan 	開展	c=1 d=1 t=18835
kai zhe 	開着	c=1 d=1 t=3198
kan 	看	c=46 d=1.03817 t=30576
kan 	砍	c=1 d=1 t=22663
kan ban 	看板	c=1 d=1 t=29898
kan bao bao 	看包包	c=1 d=1 t=8878
kan bu chu lai 	看不出來	c=4 d=1 t=15596
kan bu dao 	看不到	c=4 d=1 t=25015
kan bu dong 	看不懂	c=1 d=1 t=2278
kan chu 	看出	c=0 d=0.1 t=6502
kan chu lai 	看出來	c=3 d=2.45493 t=25844
kan cuo le 	看錯了	c=1 d=1 t=8475
kan dao 	看到	c=16 d=1.00298 t=29982
kan dao le 	看到了	c=4 d=1.89138 t=28153
kan diao 	砍掉	c=1 d=1 t=25319
kan guo 	看過	c=3 d=0.1 t=26553
kan guo ba 	看過吧	c=1 d=1 t=26554
kan hao 	看好	c=1 d=1 t=3348
kan kan 	看看	c=112 d=2.03599 t=31497
kan lai 	看來	c=5 d=1 t=25505
kan lai shi 	看來是	c=1 d=1 t=15015
kan le 	看了	c=3 d=1.0012 t=31013
kan le ma 	看了嗎	c=1 d=1 t=27785
kan le yi xia 	看了一下	c=1 d=1 t=29150
kan ming bai 	看明白	c=1 d=1 t=23073
kan qi lai 	看起來	c=20 d=1.11924 t=31070
kan ta 	看他	c=0 d=0.1 t=2649
kan wan 	看完	c=1 d=1 t=23527
kan wan le 	看完了	c=1 d=1 t=4047
kan wo ji dao 	砍我幾刀	c=1 d=1 t=548
kan xia 	看下	c=35 d=1.02226 t=31459
kan yi kan 	看一看	c=1 d=1 t=3858
kan yi xia 	看一下	c=45 d=1 t=31048
kan zhao 	看着	c=2 d=1.97531 t=7561
kan zhe 	看着	c=1 d=1 t=21127
kao 	拷	c=0 d=0.1 t=12494
kao 	烤	c=2 d=1.01463 t=16475
kao 	靠	c=1 d=1 t=13046
kao chu lai 	拷出來	c=1 d=1 t=12495
kao he 	考覈	c=3 d=1.0052 t=29806
kao lv 	考慮	c=8 d=1.00008 t=28556
kao pu 	靠譜	c=2 d=1 t=22943
kao shi 	考試	c=9 d=1.00002 t=30836
kao shi ti 	考試題	c=1 d=1 t=27056
kao xiang 	烤箱	c=2 d=1 t=16477
ke 	可	c=6 d=1.00071 t=29716
ke 	課	c=1 d=0.1 t=24534
ke bu 	可不	c=0 d=0.1 t=4960
ke bu ke 	可不可	c=0 d=0.1 t=6765
ke bu ke xing 	可不可行	c=1 d=1 t=6766
ke bu pa 	可不怕	c=1 d=1 t=4961
ke cha 	可查	c=1 d=1 t=6588
ke da 	可達	c=0 d=0.1 t=13001
ke da you 	可達有	c=1 d=1 t=13002
ke du xing 	可讀性	c=2 d=1.66034 t=29797
ke fu 	客服	c=2 d=1 t=7852
ke hu 	客戶	c=55 d=1.97063 t=31117
ke hu duan 	客戶端	c=18 d=1 t=29670
ke ji 	科技	c=0 d=0.1 t=1697
ke ji zhong xin 	科技中心	c=3 d=1 t=14328
ke jiu 	可就	c=1 d=1 t=21079
ke kao 	可靠	c=1 d=1 t=11626
ke ke 	可可	c=1 d=0.1 t=13782
ke ke ai ai 	可可愛愛	c=1 d=1 t=13783
ke neng 	可能	c=56 d=1.02496 t=29152
ke neng jiu shi 	可能就是	c=1 d=1 t=25000
ke neng shi 	可能是	c=8 d=1.40867 t=22616
ke shi hua 	可視化	c=4 d=1 t=20420
ke sou 	咳嗽	c=0 d=0.1 t=7752
ke su 	客訴	c=2 d=1 t=30045
ke ti 	課題	c=4 d=1 t=24553
ke tou 	磕頭	c=4 d=1 t=20726
ke wei hu xing 	可維護性	c=1 d=1 t=29802
ke yi 	可以	c=112 d=0.115918 t=31147
ke yi a 	可以啊	c=2 d=1 t=27755
ke yi ma 	可以嗎	c=1 d=1 t=24
ke yi yi gao 	可以一搞	c=1 d=1 t=31148
ke yi zuo 	可以做	c=1 d=1 t=21612
ke yong 	可用	c=1 d=1 t=13770
ke zu 	課組	c=2 d=1.09748 t=7030
ken ding 	肯定	c=18 d=1.02979 t=30297
ken ding shi 	肯定是	c=1 d=1 t=408
ken ding you 	肯定有	c=1 d=1 t=2318
keng 	坑	c=1 d=1 t=9947
keng si ren 	坑私人	c=1 d=1 t=3089
kong 	空	c=5 d=1.00064 t=18524
kong bai 	空白	c=12 d=1.48132 t=31354
kong bai ye 	空白頁	c=1 d=1 t=31287
kong de 	空的	c=4 d=1 t=16056
kong ge 	空格	c=1 d=1 t=5835
kong jian 	空間	c=5 d=1 t=28868
kong qi 	空氣	c=1 d=1 t=28697
kong xian 	空閒	c=1 d=1 t=17210
kong zhi 	控制	c=11 d=1.83946 t=30401
kou ke 	口渴	c=3 d=2.97025 t=28126
kou tou 	口頭	c=1 d=1 t=30466
kou tou shuo 	口頭說	c=1 d=1 t=9412
kou zhao 	口罩	c=2 d=1 t=13307
ku 	哭	c=1 d=1 t=14113
ku 	庫	c=24 d=1.73419 t=30673
ku cha 	褲衩	c=1 d=1 t=15208
ku li 	庫里	c=1 d=1 t=20835
ku zi 	褲子	c=1 d=1 t=13355
kua 	誇	c=1 d=1 t=14536
kua 	跨	c=1 d=1 t=29446
kua fu 	夸父	c=1 d=1 t=15250
kua yu 	跨域	c=1 d=1 t=20706
kua yu 	跨與	c=1 d=1 t=20687
kua yu tou 	跨域頭	c=1 d=1 t=479
kuai 	快	c=7 d=1 t=31143
kuai a 	快啊	c=1 d=1 t=6849
kuai di 	快遞	c=6 d=1 t=25295
kuai feng 	快蜂	c=1 d=1 t=30468
kuai gan 	快趕	c=0 d=0.1 t=7014
kuai gan shang 	快趕上	c=1 d=1 t=7015
kuai jie 	快捷	c=1 d=1 t=8886
kuai jie fang shi 	快捷方式	c=1 d=1 t=16556
kuai kan kan 	快看看	c=3 d=2.67063 t=18494
kuai le 	快了	c=2 d=0.1 t=16253
kuai le ba 	快了吧	c=1 d=1 t=16254
kuai ma 	快嗎	c=2 d=1 t=22311
kuai qian 	塊錢	c=1 d=1 t=5934
kuai su 	快速	c=22 d=1.00067 t=29923
kuai ti 	快提	c=1 d=1 t=26217
kuan 	寬	c=10 d=1.99005 t=27210
kuan gao 	寬高	c=6 d=1 t=19831
kuan he 	寬和	c=0 d=0.1 t=19829
kuan he gao 	寬和高	c=1 d=1 t=19830
kuang jia 	框架	c=2 d=1.00039 t=27853
kun huo 	困惑	c=1 d=1 t=1864
kun le 	困了	c=0 d=0.1 t=7239
kuo chong 	擴充	c=1 d=1 t=12371
la 	拉	c=10 d=2.15279 t=30028
la bu la duo 	拉不拉多	c=1 d=1 t=17311
la chu lai 	拉出來	c=4 d=1.97045 t=26516
la dao 	拉到	c=3 d=1 t=31456
la duo 	拉多	c=0 d=0.1 t=17310
la ge 	拉個	c=1 d=1 t=18832
la ge 	拉格	c=1 d=1 t=8396
la ge hui 	拉個會	c=3 d=1 t=30708
la guo lai 	拉過來	c=1 d=1 t=28559
la hui 	拉會	c=1 d=1 t=11729
la qi 	拉起	c=1 d=1 t=1840
la qu 	拉取	c=2 d=1 t=29599
la shi 	拉屎	c=1 d=1 t=13346
la wan 	拉完	c=1 d=1 t=29683
la wo 	拉我	c=2 d=1.01025 t=4565
la yi xia 	拉一下	c=4 d=1 t=16277
la zhe 	拉着	c=2 d=1 t=28452
la zou 	拉走	c=1 d=1 t=24050
lai 	來	c=35 d=0.28994 t=30757
lai 	賴	c=1 d=0.1 t=12172
lai bu dao 	賴不到	c=1 d=1 t=12173
lai bu ji 	來不及	c=1 d=1 t=17554
lai bu lai de 	來布萊德	c=1 d=1 t=13344
lai bu liao 	來不了	c=1 d=1 t=30755
lai da 	來打	c=1 d=1 t=7502
lai de 	來的	c=5 d=1 t=29027
lai de ji 	來得及	c=5 d=1 t=29845
lai de ji ma 	來得及嗎	c=1 d=1 t=7008
lai ding 	來定	c=1 d=1 t=20496
lai ge 	來個	c=8 d=1.70822 t=23201
lai hui 	來回	c=1 d=1 t=18803
lai hui le 	來回了	c=1 d=1 t=14998
lai hui le 	來會了	c=1 d=1 t=27359
lai kan 	來看	c=3 d=1 t=23058
lai le 	來了	c=18 d=1.00663 t=30037
lai le ge 	來了個	c=1 d=1 t=1531
lai le ma 	來了嗎	c=1 d=1 t=23384
lai ling yi ge 	來另一個	c=1 d=1 t=28375
lai shi 	來時	c=0 d=0.1 t=15170
lai shi le 	來時了	c=1 d=1 t=15171
lai shuo 	來說	c=13 d=1 t=31248
lai tan 	來談	c=1 d=1 t=1767
lai wo 	賴我	c=2 d=1 t=29863
lai wo jia 	來我家	c=1 d=1 t=17387
lai xie 	來寫	c=2 d=1 t=26568
lai yi ge 	來一個	c=3 d=1.00583 t=28275
lai yuan 	來源	c=1 d=1 t=22827
lai zhe 	來着	c=1 d=1 t=23910
lai zuo 	來做	c=2 d=1 t=23497
lan jie 	攔截	c=2 d=1.79453 t=5859
lang 	浪	c=1 d=1 t=6182
lang fei 	浪費	c=1 d=1 t=31467
lao 	老	c=8 d=1.00001 t=30450
lao ban 	老闆	c=9 d=1 t=30004
lao ban ben 	老版本	c=1 d=1 t=4319
lao ben hang 	老本行	c=1 d=1 t=11007
lao gong 	老公	c=1 d=0.100073 t=5451
lao gong yang 	老公羊	c=1 d=1 t=5452
lao huo 	老霍	c=2 d=1.90484 t=20657
lao jia 	老家	c=1 d=1 t=14943
lao jiang 	老薑	c=2 d=1 t=30851
lao po 	老婆	c=5 d=1.37531 t=30929
lao qian 	老錢	c=3 d=1.87888 t=28356
lao shi 	老實	c=1 d=1 t=7001
lao tou 	老頭	c=1 d=1 t=14106
lao wai 	老外	c=2 d=1 t=9415
lao zhang ren 	老丈人	c=1 d=1 t=29849
le 	了	c=361 d=3.94329 t=31471
le ma 	了嗎	c=7 d=0.1 t=27784
lei 	類	c=0 d=0.1 t=2621
lei bie 	類別	c=3 d=2.92712 t=4702
lei de 	類的	c=1 d=1 t=2633
lei si 	類似	c=7 d=1.02497 t=26889
lei xing 	類型	c=14 d=1 t=19173
leng bu leng 	冷不冷	c=2 d=1 t=23998
leng chang 	冷場	c=1 d=1 t=28345
leng dong 	冷凍	c=1 d=1 t=17145
li 	力	c=2 d=1.00005 t=26124
li 	李	c=3 d=1 t=24878
li 	裏	c=77 d=1.44789 t=31430
li 	離	c=4 d=2.57776 t=17835
li cheng bei 	里程碑	c=1 d=1 t=1283
li chu 	理出	c=0 d=0.1 t=1816
li chu lai 	理出來	c=1 d=1 t=1817
li de 	離得	c=1 d=1 t=10792
li dong 	李棟	c=2 d=1.98511 t=28878
li du 	粒度	c=1 d=1 t=29753
li hua 	麗華	c=2 d=1.90484 t=20414
li jian 	李健	c=2 d=1.00018 t=22668
li jian 	李建	c=0 d=0.1 t=9577
li jian zhong 	李建忠	c=2 d=1.99501 t=9579
li jie 	理解	c=5 d=1 t=24733
li jun 	力軍	c=1 d=1 t=5437
li jun 	立軍	c=7 d=0.1 t=29936
li le 	利樂	c=0 d=0.1 t=2366
li le zhen 	利樂枕	c=1 d=1 t=2367
li liang 	力量	c=2 d=1.93239 t=18217
li lun 	理論	c=1 d=1 t=134
li mian 	裏面	c=9 d=1 t=26660
li min 	李敏	c=2 d=1.96079 t=31285
li na 	李娜	c=1 d=1 t=18922
li pu 	離譜	c=1 d=1 t=22154
li qi 	利器	c=1 d=1 t=27434
li qiao 	立橋	c=2 d=1.00795 t=15019
li shi 	歷史	c=11 d=1.47711 t=30914
li tong 	李彤	c=15 d=1.37063 t=31107
li tou 	裏頭	c=1 d=1 t=23248
li xiang 	立項	c=5 d=1.00008 t=28090
li xin 	李鑫	c=2 d=1.00084 t=28907
li ya 	李亞	c=0 d=0.199005 t=25287
li ya wei 	李亞威	c=2 d=1.00002 t=27492
li ya xue 	李亞雪	c=1 d=1 t=25288
li yang 	李陽	c=3 d=1.95123 t=25564
li you 	理由	c=1 d=1 t=27393
li zhi 	離職	c=3 d=1 t=26835
li zi 	例子	c=2 d=1.93239 t=5065
lia 	倆	c=1 d=1 t=5556
lia ren 	倆人	c=2 d=1.98511 t=10139
lian 	聯	c=1 d=1 t=20979
lian 	連	c=2 d=1.02472 t=19876
lian bu shang 	連不上	c=2 d=1 t=21859
lian jie 	連接	c=1 d=1 t=11929
lian jie 	鏈接	c=7 d=1 t=31332
lian jie chi 	連接池	c=1 d=1 t=9867
lian jie shu 	連接數	c=2 d=1 t=22314
lian lu 	鏈路	c=3 d=2.68742 t=1255
lian shang 	連上	c=2 d=1.04328 t=16343
lian tiao 	聯調	c=2 d=1 t=11569
lian xi 	聯繫	c=2 d=1 t=22999
lian xu 	連續	c=1 d=1 t=21700
lian ying 	聯營	c=1 d=1 t=14188
liang 	亮	c=2 d=1 t=13872
liang 	兩	c=2 d=1 t=9792
liang 	晾	c=2 d=1.99501 t=8695
liang 	量	c=7 d=1 t=28776
liang bu fen 	兩部分	c=1 d=1 t=395
liang ci 	兩次	c=4 d=1 t=22036
liang dian 	兩點	c=1 d=1 t=17079
liang fen zhong 	兩分鐘	c=1 d=1 t=29146
liang ge 	兩個	c=28 d=1.03175 t=29405
liang ge 	良哥	c=3 d=1.81873 t=25828
liang ge ren 	兩個人	c=1 d=1 t=1916
liang ge yue 	兩個月	c=1 d=1 t=25337
liang gen 	兩根	c=1 d=1 t=16738
liang he 	兩盒	c=1 d=1 t=30456
liang hua 	量化	c=1 d=1 t=25531
liang hua zhi biao 	量化指標	c=2 d=1 t=21321
liang piao 	兩票	c=1 d=1 t=1438
liang san 	兩三	c=0 d=0.1 t=14892
liang san ge 	兩三個	c=2 d=1 t=22709
liang san ge yue 	兩三個月	c=1 d=1 t=1021
liang san tang 	兩三趟	c=1 d=1 t=14893
liang tai 	兩臺	c=2 d=1 t=22873
liang tian 	兩天	c=2 d=1.09005 t=29514
liang tian ban 	兩天班	c=1 d=1 t=29515
liang tou 	兩頭	c=1 d=1 t=9394
liang wei 	兩位	c=2 d=1 t=17877
liang xiang 	良鄉	c=4 d=2.84706 t=25032
liang ye 	兩頁	c=2 d=1 t=28823
liang zai 	靚仔	c=1 d=1 t=27361
liang zhang 	兩張	c=0 d=0.1 t=17612
liang zhong 	兩種	c=4 d=1.03959 t=27883
liang zhong zhi 	兩種紙	c=1 d=1 t=27220
liang zhou 	兩週	c=3 d=1 t=26259
liao 	了	c=0 d=0.1 t=22292
liao 	聊	c=19 d=1.0906 t=28563
liao de 	聊得	c=1 d=1 t=29052
liao guo 	聊過	c=1 d=1.0802 t=2406
liao guo le 	聊過了	c=1 d=1 t=2407
liao jie 	瞭解	c=13 d=1 t=31196
liao jie le 	瞭解了	c=3 d=1 t=17240
liao jie yi xia 	瞭解一下	c=1 d=1 t=26643
liao le 	聊了	c=1 d=1 t=11008
liao liao 	聊聊	c=5 d=1 t=23893
liao qing chu le 	聊清楚了	c=1 d=1 t=2314
liao yi ci 	聊一次	c=2 d=1.02055 t=4723
liao yi liao 	聊一聊	c=2 d=1.17907 t=2517
liao yi xia 	聊以下	c=4 d=1 t=28455
lie 	列	c=2 d=1 t=30430
lie biao 	列表	c=10 d=1.33121 t=26381
lie chu lai 	列出來	c=1 d=1 t=25551
lie pin 	獵聘	c=2 d=1.9802 t=14206
lin 	林	c=1 d=1 t=6744
lin shi 	臨時	c=4 d=1.00048 t=22627
lin shi yong 	臨時用	c=1 d=1 t=21538
ling 	嶺	c=0 d=0.1 t=2092
ling piao 	零票	c=1 d=1 t=1430
ling ren 	令人	c=0 d=0.1 t=21932
ling ren qi dai 	令人期待	c=1 d=1 t=21933
ling wai 	另外	c=1 d=1 t=21360
ling xian 	領先	c=1 d=1 t=23655
ling yi ge 	另一個	c=5 d=0.1 t=28374
liu 	劉	c=7 d=1 t=27489
liu 	留	c=2 d=1 t=28866
liu chang 	流暢	c=1 d=1 t=26814
liu cheng 	流程	c=25 d=1 t=31153
liu cheng tu 	流程圖	c=1 d=1 t=18844
liu da 	溜達	c=2 d=1 t=29846
liu dian 	六點	c=1 d=1 t=28865
liu dian ban 	六點半	c=2 d=1 t=24180
liu kong 	流控	c=1 d=1 t=24836
liu kou shui 	流口水	c=1 d=1 t=28248
liu lan qi 	瀏覽器	c=20 d=1.86944 t=24204
liu lan qi duan 	瀏覽器端	c=1 d=1 t=4860
liu liang 	流量	c=12 d=1.9802 t=14127
liu shui xian 	流水線	c=14 d=3.02216 t=30629
liu xiao wei 	劉小偉	c=1 d=1 t=11038
liu xin 	劉欣	c=1 d=1 t=28481
liu ya wen 	劉亞文	c=1 d=1 t=1533
